Compiling models...
Starting GA...
[1;32mWrote molecules to file[0m
         11222460 function calls (10852263 primitive calls) in 73.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9584    0.016    0.000    0.016    0.000 errors_impl.py:53(__init__)
     5478    0.016    0.000    0.071    0.000 contextlib.py:252(contextmanager)
    26568    0.016    0.000    0.016    0.000 lock_util.py:109(_validate_group_id)
    21648    0.016    0.000    0.016    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteBuffer}
     8452    0.016    0.000    0.016    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.GetOperationInputs}
     6370    0.016    0.000    0.016    0.000 op_def_library.py:36(_Attr)
     9954    0.016    0.000    0.212    0.000 func_graph.py:753(capture)
    10508    0.016    0.000    0.019    0.000 ops.py:5673(get_controller)
    29958    0.016    0.000    0.023    0.000 ops.py:4404(_name_stack)
   3275/1    0.016    0.000   73.238   73.238 {built-in method builtins.exec}
      528    0.016    0.000    0.076    0.000 structure.py:67(normalize_element)
     5034    0.015    0.000    0.015    0.000 tensor_shape.py:1367(<listcomp>)
    29394    0.015    0.000    0.019    0.000 tensor_shape.py:198(__init__)
     8118    0.015    0.000    0.018    0.000 <frozen importlib._bootstrap>:125(release)
     4874    0.015    0.000    0.039    0.000 tf_export.py:326(__call__)
     4618    0.015    0.000    0.018    0.000 op_def_library.py:349(_ExtractOutputStructure)
    16868    0.015    0.000    0.039    0.000 tpu.py:265(replace_with_unreplicated_resources)
     1040    0.015    0.000    0.032    0.000 numeric.py:2407(array_equal)
  3482/14    0.015    0.000    3.008    0.215 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     8856    0.015    0.000    0.028    0.000 lock_util.py:73(group)
      104    0.015    0.000    0.542    0.005 dataset.py:1011(read_direct)
      566    0.015    0.000    0.111    0.000 monomorphic_function.py:1377(_initialize_function_spec)
    76152    0.014    0.000    0.014    0.000 context.py:2119(context_safe)
20188/20176    0.014    0.000    0.039    0.000 tensor_shape.py:774(<genexpr>)
    83838    0.014    0.000    0.014    0.000 inspect_utils.py:61(<genexpr>)
    26577    0.014    0.000    0.014    0.000 {method 'acquire' of '_thread.lock' objects}
    19440    0.014    0.000    0.020    0.000 ops.py:5447(_distribution_strategy_stack)
     2028    0.014    0.000    0.052    0.000 tensor_shape.py:1243(is_compatible_with)
       96    0.014    0.000    0.014    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphCopyFunction}
     7291    0.014    0.000    0.020    0.000 inspect.py:66(get_annotations)
      462    0.013    0.000    0.013    0.000 {built-in method posix.listdir}
    15108    0.013    0.000    0.060    0.000 ops.py:2084(<genexpr>)
     6793    0.013    0.000    0.024    0.000 context.py:249(push)
3454/3453    0.013    0.000    0.435    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3868    0.013    0.000    0.044    0.000 function_type.py:32(__init__)
     1624    0.013    0.000    0.047    0.000 ops.py:690(set_shape)
     1128    0.013    0.000    0.013    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
     5340    0.013    0.000    0.125    0.000 tf_contextlib.py:21(contextmanager)
      518    0.013    0.000    0.038    0.000 cfunc_wrapper.py:54(seqOneHot)
    43754    0.013    0.000    0.013    0.000 ops.py:457(dtype)
     5038    0.013    0.000    0.022    0.000 tf_export.py:297(_validate_symbol_names)
     5394    0.013    0.000    0.014    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsCompositeTensor}
    16868    0.013    0.000    0.030    0.000 auto_control_deps.py:143(op_is_stateful)
    13128    0.013    0.000    0.013    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNestedOrComposite}
     8434    0.013    0.000    0.060    0.000 tpu.py:246(tpu_replicated_input_resolver)
  554/542    0.013    0.000    8.521    0.016 tracing_compiler.py:269(_create_concrete_function)
      532    0.013    0.000    0.041    0.000 conversion.py:112(is_allowlisted)
     9066    0.013    0.000    0.021    0.000 control_flow_util.py:262(CheckInputFromValidContext)
    17306    0.013    0.000    0.066    0.000 ops.py:2519(<genexpr>)
        1    0.013    0.013    0.013    0.013 langthaimodel.py:1(<module>)
     2730    0.013    0.000    0.015    0.000 tensor_util.py:336(_is_array_like)
     1866    0.013    0.000    0.704    0.000 array_ops.py:248(identity)
     8856    0.013    0.000    0.030    0.000 ops.py:5412(_snapshot_colocation_stack_metadata)
      117    0.012    0.000    0.012    0.000 {method 'AddSerializedFile' of 'google.protobuf.pyext._message.DescriptorPool' objects}
     4618    0.012    0.000    0.012    0.000 op_def_library.py:382(_CheckOpDeprecation)
    16352    0.012    0.000    0.012    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
      138    0.012    0.000    0.584    0.004 resource_variable_ops.py:1749(_init_from_args)
3987/2319    0.012    0.000    0.067    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2464    0.012    0.000    0.012    0.000 dataset_ops.py:665(_metadata)
     9598    0.012    0.000    0.014    0.000 ops.py:4126(_get_operation_by_name_unsafe)
      540    0.012    0.000    6.883    0.013 tracing_compiler.py:176(_get_concrete_function_garbage_collected)
  958/954    0.012    0.000    0.013    0.000 {built-in method tensorflow.python.util._pywrap_utils.AssertSameStructure}
     6956    0.012    0.000    0.013    0.000 functools.py:65(wraps)
    30227    0.012    0.000    0.012    0.000 tokenization.py:19(<genexpr>)
    28623    0.012    0.000    0.020    0.000 tf_decorator.py:107(_has_tf_decorator_attr)
     3168    0.012    0.000    0.060    0.000 options.py:642(_set_mutable)
    16033    0.012    0.000    0.018    0.000 {built-in method builtins.max}
     9384    0.012    0.000    0.155    0.000 ops.py:446(_create_with_tf_output)
    10948    0.012    0.000    0.012    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GetBuffer}
    34558    0.012    0.000    0.015    0.000 inspect.py:2962(<genexpr>)
     3393    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     4282    0.011    0.000    0.011    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNamedtuple}
4904/3770    0.011    0.000    0.080    0.000 base_layer.py:3210(_gather_children_attribute)
      566    0.011    0.000    0.455    0.001 monomorphic_function.py:1296(__init__)
     5038    0.011    0.000    0.035    0.000 tf_export.py:269(__init__)
       21    0.011    0.001   65.723    3.130 string_scoring_functions.py:26(calculate_scores)
     4754    0.011    0.000    1.544    0.000 constant_op.py:170(constant)
     8856    0.011    0.000    0.025    0.000 ops.py:5372(_snapshot_device_function_stack_metadata)
    40468    0.011    0.000    0.011    0.000 ops.py:452(op)
8246/4354    0.011    0.000    0.021    0.000 nest.py:1002(_yield_flat_up_to)
      558    0.011    0.000    0.184    0.000 tracing_compiler.py:67(__init__)
     1116    0.011    0.000    0.011    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.SetAttr}
     8857    0.011    0.000    0.023    0.000 threading.py:359(notify)
       88    0.011    0.000    0.067    0.001 inverse_qsar_cli.py:124(get_custom_lipinski)
    23668    0.011    0.000    0.011    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     6316    0.011    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
